Type,Year,Month,Store,Target
yearly,2023,,TÜM MAĞAZALAR,45000000
yearly,2024,,TÜM MAĞAZALAR,52000000
yearly,2025,,TÜM MAĞAZALAR,55000000
monthly,2025,1,TÜM MAĞAZALAR,4500000
monthly,2025,2,TÜM MAĞAZALAR,4200000
monthly,2025,3,TÜM MAĞAZALAR,4800000
monthly,2025,4,TÜM MAĞAZALAR,4600000
monthly,2025,5,TÜM MAĞAZALAR,5000000
monthly,2025,6,TÜM MAĞAZALAR,5100000
monthly,2025,7,TÜM MAĞAZALAR,5300000
monthly,2025,8,TÜM MAĞAZALAR,5400000
monthly,2025,9,TÜM MAĞAZALAR,5200000
monthly,2025,10,TÜM MAĞAZALAR,5500000
monthly,2025,11,TÜM MAĞAZALAR,5600000
monthly,2025,12,TÜM MAĞAZALAR,5800000
monthly,2025,1,Akasya,408333
monthly,2025,2,Akasya,358333
monthly,2025,3,Akasya,358333
monthly,2025,4,Akasya,358333
monthly,2025,5,Akasya,375000
monthly,2025,6,Akasya,363000
monthly,2025,7,Akasya,333333
monthly,2025,8,Akasya,333333
monthly,2025,9,Akasya,375000
monthly,2025,10,Akasya,375000
monthly,2025,11,Akasya,520833
monthly,2025,12,Akasya,625000
